Date,Pair,Interval,Indicator
2020-05-13 19:00:24+00:00,ONTBTC,5m,Stochastics Oversold
2020-05-13 19:00:24+00:00,INSBTC,5m,Stochastics Oversold
2020-05-13 19:00:24+00:00,XMRBTC,5m,Stochastics Oversold
2020-05-13 19:00:24+00:00,LTOBTC,5m,Potential Bullish MACD cross
2020-05-13 19:00:22+00:00,TOMOBTC,1h,RSI Oversold
2020-05-13 19:00:22+00:00,LINKBTC,1h,Stochastics Oversold
2020-05-13 19:00:22+00:00,ZECBTC,1h,Stochastics Oversold
2020-05-13 19:00:22+00:00,SNTBTC,1h,Stochastics Oversold
2020-05-13 19:00:22+00:00,ARPABTC,1h,Potential Bullish MACD cross
2020-05-13 19:00:22+00:00,INSBTC,1h,Potential Bullish MACD cross
2020-05-13 19:00:22+00:00,BNBBTC,1h,Potential Bullish MACD cross
2020-05-13 19:00:22+00:00,RENBTC,1h,Potential Bullish MACD cross
2020-05-13 19:00:22+00:00,ZILBTC,1h,Potential Bearish MACD cross
2020-05-13 19:00:22+00:00,IOTABTC,1h,Potential Bearish MACD cross
2020-05-13 19:00:22+00:00,LENDBTC,1h,Potential Bearish MACD cross
2020-05-13 18:55:18+00:00,DASHBTC,5m,Stochastics Oversold
2020-05-13 18:55:18+00:00,BATBTC,5m,Stochastics Oversold
2020-05-13 18:55:18+00:00,ZECBTC,5m,Potential Bearish MACD cross
2020-05-13 18:55:18+00:00,ZILBTC,5m,Potential Bearish MACD cross
2020-05-13 18:55:18+00:00,BTCUSDT,5m,Potential Bearish MACD cross
2020-05-13 18:50:19+00:00,ETHBTC,5m,Stochastics Oversold
2020-05-13 18:50:19+00:00,ETCBTC,5m,Stochastics Oversold
2020-05-13 18:50:19+00:00,LTCBTC,5m,Stochastics Oversold
2020-05-13 18:50:19+00:00,XLMBTC,5m,Stochastics Oversold
2020-05-13 18:50:19+00:00,BCHBTC,5m,Stochastics Oversold
2020-05-13 18:50:19+00:00,LENDBTC,5m,Potential Bullish MACD cross
2020-05-13 18:50:19+00:00,ZECBTC,5m,Potential Bearish MACD cross
2020-05-13 18:50:19+00:00,WRXBTC,5m,Potential Bearish MACD cross
2020-05-13 18:45:17+00:00,EOSBTC,5m,Stochastics Oversold
2020-05-13 18:45:17+00:00,SNTBTC,5m,Stochastics Oversold
2020-05-13 18:45:17+00:00,XRPBTC,5m,Stochastics Oversold
2020-05-13 18:45:17+00:00,ICXBTC,5m,Stochastics Oversold
2020-05-13 18:45:17+00:00,LENDBTC,5m,Potential Bullish MACD cross
2020-05-13 18:45:17+00:00,SNTBTC,5m,Potential Bearish MACD cross
2020-05-13 18:45:17+00:00,BANDBTC,5m,Potential Bearish MACD cross
2020-05-13 18:45:17+00:00,WRXBTC,5m,Potential Bearish MACD cross
2020-05-13 18:45:16+00:00,SNTBTC,15m,Stochastics Oversold
2020-05-13 18:45:16+00:00,KAVABTC,15m,Potential Bullish MACD cross
2020-05-13 18:45:16+00:00,MATICBTC,15m,Potential Bearish MACD cross
2020-05-13 18:45:16+00:00,TOMOBTC,15m,Potential Bearish MACD cross
2020-05-13 18:45:16+00:00,EOSBTC,15m,Potential Bearish MACD cross
2020-05-13 18:45:16+00:00,LTOBTC,15m,Potential Bearish MACD cross
2020-05-13 18:40:17+00:00,LINKBTC,5m,Stochastics Oversold
2020-05-13 18:40:17+00:00,ONTBTC,5m,Stochastics Oversold
2020-05-13 18:40:17+00:00,ZRXBTC,5m,Stochastics Oversold
2020-05-13 18:40:17+00:00,KNCBTC,5m,Stochastics Oversold
2020-05-13 18:40:17+00:00,MCOBTC,5m,Potential Bullish MACD cross
2020-05-13 18:40:17+00:00,THETABTC,5m,Potential Bearish MACD cross
2020-05-13 18:40:17+00:00,BATBTC,5m,Potential Bearish MACD cross
2020-05-13 18:40:17+00:00,TNTBTC,5m,Potential Bearish MACD cross
2020-05-13 18:40:17+00:00,STRATBTC,5m,Potential Bearish MACD cross
2020-05-13 18:40:17+00:00,CHZBTC,5m,Potential Bearish MACD cross
2020-05-13 18:40:17+00:00,BANDBTC,5m,Potential Bearish MACD cross
2020-05-13 18:40:17+00:00,WRXBTC,5m,Potential Bearish MACD cross
2020-05-13 18:35:16+00:00,KAVABTC,5m,Stochastics Oversold
2020-05-13 18:35:16+00:00,THETABTC,5m,Potential Bearish MACD cross
2020-05-13 18:35:16+00:00,BATBTC,5m,Potential Bearish MACD cross
2020-05-13 18:35:16+00:00,TNTBTC,5m,Potential Bearish MACD cross
2020-05-13 18:35:16+00:00,ADABTC,5m,Potential Bearish MACD cross
2020-05-13 18:35:16+00:00,WRXBTC,5m,Potential Bearish MACD cross
2020-05-13 18:30:19+00:00,EOSBTC,15m,RSI Overbought
2020-05-13 18:30:19+00:00,NANOBTC,15m,Stochastics Oversold
2020-05-13 18:30:19+00:00,ENJBTC,15m,Stochastics Oversold
2020-05-13 18:30:19+00:00,ONTBTC,15m,Potential Bullish MACD cross
2020-05-13 18:30:19+00:00,KAVABTC,15m,Potential Bullish MACD cross
2020-05-13 18:30:17+00:00,LTOBTC,5m,Stochastics Oversold
2020-05-13 18:30:17+00:00,WAVESBTC,5m,Stochastics Oversold
2020-05-13 18:30:17+00:00,NANOBTC,5m,Potential Bullish MACD cross
2020-05-13 18:30:17+00:00,THETABTC,5m,Potential Bearish MACD cross
2020-05-13 18:30:17+00:00,TNTBTC,5m,Potential Bearish MACD cross
2020-05-13 18:30:17+00:00,ADABTC,5m,Potential Bearish MACD cross
2020-05-13 18:30:17+00:00,RENBTC,5m,Potential Bearish MACD cross
2020-05-13 18:30:17+00:00,ICXBTC,5m,Potential Bearish MACD cross
2020-05-13 18:25:17+00:00,NANOBTC,5m,Potential Bullish MACD cross
2020-05-13 18:25:17+00:00,GXSBTC,5m,Potential Bearish MACD cross
2020-05-13 18:25:17+00:00,ADABTC,5m,Potential Bearish MACD cross
2020-05-13 18:25:17+00:00,KAVABTC,5m,Potential Bearish MACD cross
2020-05-13 18:25:17+00:00,ICXBTC,5m,Potential Bearish MACD cross
2020-05-13 18:20:17+00:00,LENDBTC,5m,RSI Oversold
2020-05-13 18:20:17+00:00,RVNBTC,5m,Stochastics Oversold
2020-05-13 18:20:17+00:00,NASBTC,5m,Stochastics Oversold
2020-05-13 18:20:17+00:00,LENDBTC,5m,Stochastics Oversold
2020-05-13 18:20:17+00:00,ENJBTC,5m,Stochastics Oversold
2020-05-13 18:20:17+00:00,NANOBTC,5m,Potential Bullish MACD cross
2020-05-13 18:20:17+00:00,BATBTC,5m,Potential Bearish MACD cross
2020-05-13 18:20:17+00:00,GXSBTC,5m,Potential Bearish MACD cross
2020-05-13 18:20:17+00:00,ZRXBTC,5m,Potential Bearish MACD cross
2020-05-13 18:20:17+00:00,XLMBTC,5m,Potential Bearish MACD cross
2020-05-13 18:20:17+00:00,XMRBTC,5m,Potential Bearish MACD cross
2020-05-13 18:15:18+00:00,LENDBTC,15m,Stochastics Oversold
2020-05-13 18:15:18+00:00,ONTBTC,15m,Potential Bullish MACD cross
2020-05-13 18:15:18+00:00,GXSBTC,15m,Potential Bullish MACD cross
2020-05-13 18:15:18+00:00,ZECBTC,15m,Potential Bullish MACD cross
2020-05-13 18:15:18+00:00,ETCBTC,15m,Potential Bullish MACD cross
2020-05-13 18:15:18+00:00,KAVABTC,15m,Potential Bullish MACD cross
2020-05-13 18:15:18+00:00,TOMOBTC,5m,Stochastics Oversold
2020-05-13 18:15:18+00:00,NEOBTC,5m,Potential Bearish MACD cross
2020-05-13 18:15:18+00:00,ZRXBTC,5m,Potential Bearish MACD cross
2020-05-13 18:15:18+00:00,XRPBTC,5m,Potential Bearish MACD cross
2020-05-13 18:15:18+00:00,XMRBTC,5m,Potential Bearish MACD cross
2020-05-13 18:10:17+00:00,DATABTC,5m,Stochastics Oversold
2020-05-13 18:10:17+00:00,REPBTC,5m,Potential Bearish MACD cross
2020-05-13 18:10:17+00:00,ZRXBTC,5m,Potential Bearish MACD cross
2020-05-13 18:10:17+00:00,LTOBTC,5m,Potential Bearish MACD cross
2020-05-13 18:10:17+00:00,WAVESBTC,5m,Potential Bearish MACD cross
2020-05-13 18:05:17+00:00,NEOBTC,5m,Potential Bearish MACD cross
2020-05-13 18:05:17+00:00,REPBTC,5m,Potential Bearish MACD cross
2020-05-13 18:05:17+00:00,LTOBTC,5m,Potential Bearish MACD cross
2020-05-13 18:05:17+00:00,ICXBTC,5m,Potential Bearish MACD cross
2020-05-13 18:00:30+00:00,MCOBTC,15m,RSI Oversold
2020-05-13 18:00:30+00:00,ADABTC,15m,RSI Overbought
2020-05-13 18:00:30+00:00,TRXBTC,15m,Stochastics Oversold
2020-05-13 18:00:30+00:00,RVNBTC,15m,Potential Bullish MACD cross
2020-05-13 18:00:30+00:00,GXSBTC,15m,Potential Bullish MACD cross
2020-05-13 18:00:30+00:00,KAVABTC,15m,Potential Bullish MACD cross
2020-05-13 18:00:30+00:00,IOTABTC,15m,Potential Bullish MACD cross
2020-05-13 18:00:30+00:00,MCOBTC,15m,Potential Bearish MACD cross
2020-05-13 18:00:28+00:00,MCOBTC,1h,RSI Oversold
2020-05-13 18:00:28+00:00,RVNBTC,1h,Stochastics Oversold
2020-05-13 18:00:28+00:00,BNBBTC,1h,Potential Bullish MACD cross
2020-05-13 18:00:28+00:00,GXSBTC,1h,Potential Bearish MACD cross
2020-05-13 18:00:28+00:00,ZILBTC,1h,Potential Bearish MACD cross
2020-05-13 18:00:28+00:00,LENDBTC,1h,Potential Bearish MACD cross
2020-05-13 18:00:24+00:00,GXSBTC,2h,Stochastics Oversold
2020-05-13 18:00:24+00:00,KNCBTC,2h,Stochastics Oversold
2020-05-13 18:00:24+00:00,WRXBTC,2h,Stochastics Oversold
2020-05-13 18:00:24+00:00,OGNBTC,2h,Potential Bearish MACD cross
2020-05-13 18:00:24+00:00,RLCBTC,2h,Potential Bearish MACD cross
2020-05-13 18:00:23+00:00,TRXBTC,5m,Stochastics Oversold
2020-05-13 18:00:23+00:00,KNCBTC,5m,Stochastics Oversold
2020-05-13 18:00:23+00:00,NANOBTC,5m,Potential Bullish MACD cross
2020-05-13 18:00:23+00:00,ALGOBTC,5m,Potential Bullish MACD cross
2020-05-13 18:00:23+00:00,MATICBTC,5m,Potential Bearish MACD cross
2020-05-13 18:00:23+00:00,LTOBTC,5m,Potential Bearish MACD cross
2020-05-13 17:55:17+00:00,ALGOBTC,5m,Stochastics Oversold
2020-05-13 17:55:17+00:00,OGNBTC,5m,Potential Bullish MACD cross
2020-05-13 17:55:17+00:00,TOMOBTC,5m,Potential Bearish MACD cross
2020-05-13 17:55:17+00:00,ENGBTC,5m,Potential Bearish MACD cross
2020-05-13 17:50:17+00:00,MCOBTC,5m,Stochastics Oversold
2020-05-13 17:50:17+00:00,ETHBTC,5m,Potential Bullish MACD cross
2020-05-13 17:50:17+00:00,LINKBTC,5m,Potential Bullish MACD cross
2020-05-13 17:50:17+00:00,TOMOBTC,5m,Potential Bearish MACD cross
2020-05-13 17:45:18+00:00,ETHBTC,5m,Potential Bullish MACD cross
2020-05-13 17:45:18+00:00,LINKBTC,5m,Potential Bullish MACD cross
2020-05-13 17:45:18+00:00,ALGOBTC,5m,Potential Bullish MACD cross
2020-05-13 17:45:18+00:00,TOMOBTC,5m,Potential Bearish MACD cross
2020-05-13 17:45:18+00:00,NASBTC,5m,Potential Bearish MACD cross
2020-05-13 17:45:18+00:00,KNCBTC,5m,Potential Bearish MACD cross
2020-05-13 17:45:18+00:00,DATABTC,5m,Potential Bearish MACD cross
2020-05-13 17:45:16+00:00,ALGOBTC,15m,Stochastics Oversold
2020-05-13 17:45:16+00:00,BANDBTC,15m,Stochastics Oversold
2020-05-13 17:45:16+00:00,GXSBTC,15m,Potential Bullish MACD cross
2020-05-13 17:45:16+00:00,KAVABTC,15m,Potential Bullish MACD cross
2020-05-13 17:40:17+00:00,ADABTC,5m,RSI Overbought
2020-05-13 17:40:17+00:00,ETHBTC,5m,Potential Bullish MACD cross
2020-05-13 17:40:17+00:00,KNCBTC,5m,Potential Bearish MACD cross
2020-05-13 17:35:17+00:00,MCOBTC,5m,Stochastics Oversold
2020-05-13 17:35:17+00:00,BANDBTC,5m,Stochastics Oversold
2020-05-13 17:35:17+00:00,DASHBTC,5m,Potential Bullish MACD cross
2020-05-13 17:35:17+00:00,ETCBTC,5m,Potential Bullish MACD cross
2020-05-13 17:35:17+00:00,LTCBTC,5m,Potential Bullish MACD cross
2020-05-13 17:35:17+00:00,TOMOBTC,5m,Potential Bearish MACD cross
2020-05-13 17:35:17+00:00,KNCBTC,5m,Potential Bearish MACD cross
2020-05-13 17:30:18+00:00,INSBTC,5m,Stochastics Oversold
2020-05-13 17:30:18+00:00,XTZBTC,5m,Stochastics Oversold
2020-05-13 17:30:18+00:00,TRXBTC,5m,Stochastics Oversold
2020-05-13 17:30:18+00:00,SNTBTC,5m,Stochastics Oversold
2020-05-13 17:30:18+00:00,RLCBTC,5m,Stochastics Oversold
2020-05-13 17:30:18+00:00,IOTABTC,5m,Stochastics Oversold
2020-05-13 17:30:18+00:00,DASHBTC,5m,Potential Bullish MACD cross
2020-05-13 17:30:18+00:00,BATBTC,5m,Potential Bullish MACD cross
2020-05-13 17:30:18+00:00,ETCBTC,5m,Potential Bullish MACD cross
2020-05-13 17:30:15+00:00,XTZBTC,15m,Stochastics Oversold
2020-05-13 17:30:15+00:00,ETCBTC,15m,Stochastics Oversold
2020-05-13 17:30:15+00:00,GXSBTC,15m,Potential Bullish MACD cross
2020-05-13 17:30:15+00:00,KAVABTC,15m,Potential Bullish MACD cross
2020-05-13 17:30:15+00:00,BNBBTC,15m,Potential Bearish MACD cross
2020-05-13 17:25:17+00:00,DASHBTC,5m,Potential Bullish MACD cross
2020-05-13 17:25:17+00:00,BATBTC,5m,Potential Bullish MACD cross
2020-05-13 17:25:17+00:00,ONTBTC,5m,Potential Bullish MACD cross
2020-05-13 17:25:17+00:00,BCHBTC,5m,Potential Bullish MACD cross
2020-05-13 17:25:17+00:00,BANDBTC,5m,Potential Bearish MACD cross
2020-05-13 17:20:17+00:00,ETHBTC,5m,Stochastics Oversold
2020-05-13 17:20:17+00:00,DASHBTC,5m,Potential Bullish MACD cross
2020-05-13 17:20:17+00:00,BATBTC,5m,Potential Bullish MACD cross
2020-05-13 17:20:17+00:00,ONTBTC,5m,Potential Bullish MACD cross
2020-05-13 17:20:17+00:00,BCHBTC,5m,Potential Bullish MACD cross
2020-05-13 17:15:19+00:00,THETABTC,5m,Stochastics Oversold
2020-05-13 17:15:19+00:00,SNTBTC,5m,Stochastics Oversold
2020-05-13 17:15:19+00:00,ATOMBTC,5m,Stochastics Oversold
2020-05-13 17:15:19+00:00,WAVESBTC,5m,Stochastics Oversold
2020-05-13 17:15:19+00:00,RVNBTC,5m,Potential Bullish MACD cross
2020-05-13 17:15:16+00:00,RVNBTC,15m,Stochastics Oversold
2020-05-13 17:15:16+00:00,XRPBTC,15m,Stochastics Oversold
2020-05-13 17:15:16+00:00,GXSBTC,15m,Potential Bullish MACD cross
2020-05-13 17:15:16+00:00,ZRXBTC,15m,Potential Bullish MACD cross
2020-05-13 17:15:16+00:00,BANDBTC,15m,Potential Bullish MACD cross
2020-05-13 17:15:16+00:00,ETHBTC,15m,Potential Bearish MACD cross
2020-05-13 17:15:16+00:00,DASHBTC,15m,Potential Bearish MACD cross
2020-05-13 17:15:16+00:00,BNBBTC,15m,Potential Bearish MACD cross
2020-05-13 17:15:16+00:00,ATOMBTC,15m,Potential Bearish MACD cross
2020-05-13 17:10:17+00:00,KAVABTC,5m,Stochastics Oversold
2020-05-13 17:10:17+00:00,RVNBTC,5m,Potential Bullish MACD cross
2020-05-13 17:10:17+00:00,ICXBTC,5m,Potential Bullish MACD cross
2020-05-13 17:10:17+00:00,LENDBTC,5m,Potential Bullish MACD cross
2020-05-13 17:10:17+00:00,ENJBTC,5m,Potential Bullish MACD cross
2020-05-13 17:10:17+00:00,ZILBTC,5m,Potential Bearish MACD cross
2020-05-13 17:10:17+00:00,KAVABTC,5m,Potential Bearish MACD cross
2020-05-13 17:05:18+00:00,KAVABTC,5m,RSI Oversold
2020-05-13 17:05:18+00:00,BNBBTC,5m,Stochastics Oversold
2020-05-13 17:05:18+00:00,RVNBTC,5m,Potential Bullish MACD cross
2020-05-13 17:05:18+00:00,SNTBTC,5m,Potential Bullish MACD cross
2020-05-13 17:05:18+00:00,ICXBTC,5m,Potential Bullish MACD cross
2020-05-13 17:05:18+00:00,ENJBTC,5m,Potential Bullish MACD cross
2020-05-13 17:05:18+00:00,EOSBTC,5m,Potential Bearish MACD cross
2020-05-13 17:05:18+00:00,KAVABTC,5m,Potential Bearish MACD cross
2020-05-13 17:00:23+00:00,ETHBTC,5m,Stochastics Oversold
2020-05-13 17:00:23+00:00,BATBTC,5m,Stochastics Oversold
2020-05-13 17:00:23+00:00,XRPBTC,5m,Stochastics Oversold
2020-05-13 17:00:23+00:00,LTCBTC,5m,Stochastics Oversold
2020-05-13 17:00:23+00:00,ALGOBTC,5m,Stochastics Oversold
2020-05-13 17:00:23+00:00,XTZBTC,5m,Potential Bullish MACD cross
2020-05-13 17:00:23+00:00,ZECBTC,5m,Potential Bullish MACD cross
2020-05-13 17:00:23+00:00,SNTBTC,5m,Potential Bullish MACD cross
2020-05-13 17:00:23+00:00,BTCUSDT,5m,Potential Bullish MACD cross
2020-05-13 17:00:23+00:00,LENDBTC,5m,Potential Bullish MACD cross
2020-05-13 17:00:23+00:00,ENJBTC,5m,Potential Bullish MACD cross
2020-05-13 17:00:23+00:00,EOSBTC,5m,Potential Bearish MACD cross
2020-05-13 17:00:23+00:00,INSBTC,5m,Potential Bearish MACD cross
2020-05-13 17:00:23+00:00,BATBTC,15m,Stochastics Oversold
2020-05-13 17:00:23+00:00,ONTBTC,15m,Stochastics Oversold
2020-05-13 17:00:23+00:00,TRXBTC,15m,Stochastics Oversold
2020-05-13 17:00:23+00:00,SNTBTC,15m,Stochastics Oversold
2020-05-13 17:00:23+00:00,REPBTC,15m,Potential Bullish MACD cross
2020-05-13 17:00:23+00:00,ZRXBTC,15m,Potential Bullish MACD cross
2020-05-13 17:00:23+00:00,BANDBTC,15m,Potential Bullish MACD cross
2020-05-13 17:00:23+00:00,ETHBTC,15m,Potential Bearish MACD cross
2020-05-13 17:00:23+00:00,BNBBTC,15m,Potential Bearish MACD cross
2020-05-13 17:00:23+00:00,ICXBTC,15m,Potential Bearish MACD cross
2020-05-13 17:00:23+00:00,ENJBTC,15m,Potential Bearish MACD cross
2020-05-13 17:00:22+00:00,REPBTC,1h,Stochastics Oversold
2020-05-13 17:00:22+00:00,ZRXBTC,1h,Stochastics Oversold
2020-05-13 17:00:22+00:00,CHZBTC,1h,Stochastics Oversold
2020-05-13 17:00:22+00:00,MCOBTC,1h,Potential Bullish MACD cross
2020-05-13 17:00:22+00:00,ADABTC,1h,Potential Bullish MACD cross
2020-05-13 17:00:22+00:00,LTCBTC,1h,Potential Bullish MACD cross
2020-05-13 17:00:22+00:00,ICXBTC,1h,Potential Bullish MACD cross
2020-05-13 17:00:22+00:00,GXSBTC,1h,Potential Bearish MACD cross
2020-05-13 16:55:19+00:00,THETABTC,5m,Stochastics Oversold
2020-05-13 16:55:19+00:00,IOTABTC,5m,Stochastics Oversold
2020-05-13 16:55:19+00:00,BCHBTC,5m,Stochastics Oversold
2020-05-13 16:55:19+00:00,ICXBTC,5m,Stochastics Oversold
2020-05-13 16:55:19+00:00,XTZBTC,5m,Potential Bullish MACD cross
2020-05-13 16:55:19+00:00,SNTBTC,5m,Potential Bullish MACD cross
2020-05-13 16:55:19+00:00,ENJBTC,5m,Potential Bullish MACD cross
2020-05-13 16:55:19+00:00,EOSBTC,5m,Potential Bearish MACD cross
2020-05-13 16:55:19+00:00,INSBTC,5m,Potential Bearish MACD cross
2020-05-13 16:50:18+00:00,DASHBTC,5m,Stochastics Oversold
2020-05-13 16:50:18+00:00,OGNBTC,5m,Stochastics Oversold
2020-05-13 16:50:18+00:00,NANOBTC,5m,Stochastics Oversold
2020-05-13 16:50:18+00:00,ETCBTC,5m,Stochastics Oversold
2020-05-13 16:50:18+00:00,EOSBTC,5m,Potential Bearish MACD cross
2020-05-13 16:50:18+00:00,INSBTC,5m,Potential Bearish MACD cross
2020-05-13 16:50:18+00:00,WAVESBTC,5m,Potential Bearish MACD cross
2020-05-13 16:45:20+00:00,ONTBTC,5m,RSI Oversold
2020-05-13 16:45:20+00:00,ONTBTC,5m,Stochastics Oversold
2020-05-13 16:45:20+00:00,DATABTC,5m,Stochastics Oversold
2020-05-13 16:45:20+00:00,ARPABTC,5m,Potential Bearish MACD cross
2020-05-13 16:45:20+00:00,RLCBTC,5m,Potential Bearish MACD cross
2020-05-13 16:45:20+00:00,WAVESBTC,5m,Potential Bearish MACD cross
2020-05-13 16:45:19+00:00,ONTBTC,15m,RSI Oversold
2020-05-13 16:45:19+00:00,TOMOBTC,15m,Stochastics Oversold
2020-05-13 16:45:19+00:00,XTZBTC,15m,Stochastics Oversold
2020-05-13 16:45:19+00:00,DATABTC,15m,Stochastics Oversold
2020-05-13 16:45:19+00:00,REPBTC,15m,Potential Bullish MACD cross
2020-05-13 16:45:19+00:00,ZRXBTC,15m,Potential Bullish MACD cross
2020-05-13 16:45:19+00:00,NANOBTC,15m,Potential Bearish MACD cross
2020-05-13 16:45:19+00:00,ICXBTC,15m,Potential Bearish MACD cross
2020-05-13 16:40:18+00:00,TRXBTC,5m,Stochastics Oversold
2020-05-13 16:40:18+00:00,ETCBTC,5m,Stochastics Oversold
2020-05-13 16:40:18+00:00,LTCBTC,5m,Stochastics Oversold
2020-05-13 16:40:18+00:00,ARPABTC,5m,Potential Bearish MACD cross
2020-05-13 16:40:18+00:00,WAVESBTC,5m,Potential Bearish MACD cross
2020-05-13 16:40:18+00:00,IOTABTC,5m,Potential Bearish MACD cross
2020-05-13 16:40:18+00:00,BCHBTC,5m,Potential Bearish MACD cross
2020-05-13 16:35:17+00:00,ICXBTC,5m,Stochastics Oversold
2020-05-13 16:35:17+00:00,OGNBTC,5m,Potential Bearish MACD cross
2020-05-13 16:35:17+00:00,ARPABTC,5m,Potential Bearish MACD cross
2020-05-13 16:35:17+00:00,WAVESBTC,5m,Potential Bearish MACD cross
2020-05-13 16:35:17+00:00,IOTABTC,5m,Potential Bearish MACD cross
2020-05-13 16:35:17+00:00,BCHBTC,5m,Potential Bearish MACD cross
2020-05-13 16:30:21+00:00,XLMBTC,15m,RSI Oversold
2020-05-13 16:30:21+00:00,THETABTC,15m,Stochastics Oversold
2020-05-13 16:30:21+00:00,CHZBTC,15m,Stochastics Oversold
2020-05-13 16:30:21+00:00,XLMBTC,15m,Stochastics Oversold
2020-05-13 16:30:21+00:00,BANDBTC,15m,Potential Bullish MACD cross
2020-05-13 16:30:21+00:00,ETHBTC,15m,Potential Bearish MACD cross
2020-05-13 16:30:21+00:00,ICXBTC,15m,Potential Bearish MACD cross
2020-05-13 16:30:18+00:00,BATBTC,5m,RSI Oversold
2020-05-13 16:30:18+00:00,ONTBTC,5m,RSI Oversold
2020-05-13 16:30:18+00:00,ZECBTC,5m,RSI Oversold
2020-05-13 16:30:18+00:00,SNTBTC,5m,Stochastics Oversold
2020-05-13 16:30:18+00:00,BNBBTC,5m,Stochastics Oversold
2020-05-13 16:30:18+00:00,BTCUSDT,5m,Stochastics Oversold
2020-05-13 16:30:18+00:00,OGNBTC,5m,Potential Bearish MACD cross
2020-05-13 16:30:18+00:00,ARPABTC,5m,Potential Bearish MACD cross
2020-05-13 16:30:18+00:00,ATOMBTC,5m,Potential Bearish MACD cross
2020-05-13 16:30:18+00:00,IOTABTC,5m,Potential Bearish MACD cross
2020-05-13 16:25:17+00:00,EOSBTC,5m,RSI Extremely Overbought
2020-05-13 16:25:17+00:00,BATBTC,5m,Stochastics Oversold
2020-05-13 16:25:17+00:00,STRATBTC,5m,Stochastics Oversold
2020-05-13 16:25:17+00:00,ZECBTC,5m,Stochastics Oversold
2020-05-13 16:25:17+00:00,NANOBTC,5m,Stochastics Oversold
2020-05-13 16:25:17+00:00,CHZBTC,5m,Stochastics Oversold
2020-05-13 16:25:17+00:00,ENJBTC,5m,Stochastics Oversold
2020-05-13 16:25:17+00:00,XLMBTC,5m,Potential Bullish MACD cross
2020-05-13 16:25:17+00:00,OGNBTC,5m,Potential Bearish MACD cross
2020-05-13 16:25:17+00:00,ARPABTC,5m,Potential Bearish MACD cross
2020-05-13 16:25:17+00:00,LINKBTC,5m,Potential Bearish MACD cross
2020-05-13 16:25:17+00:00,ATOMBTC,5m,Potential Bearish MACD cross
2020-05-13 16:20:17+00:00,KNCBTC,5m,RSI Extremely Oversold
2020-05-13 16:20:17+00:00,TNTBTC,5m,Stochastics Oversold
2020-05-13 16:20:17+00:00,DASHBTC,5m,Potential Bearish MACD cross
2020-05-13 16:20:17+00:00,ARPABTC,5m,Potential Bearish MACD cross
2020-05-13 16:20:17+00:00,INSBTC,5m,Potential Bearish MACD cross
2020-05-13 16:20:17+00:00,ETCBTC,5m,Potential Bearish MACD cross
2020-05-13 16:15:29+00:00,MCOBTC,15m,BB Squeeze
2020-05-13 16:15:29+00:00,EOSBTC,15m,RSI Overbought
2020-05-13 16:15:29+00:00,TNTBTC,15m,Stochastics Oversold
2020-05-13 16:15:29+00:00,KNCBTC,15m,Stochastics Oversold
2020-05-13 16:15:29+00:00,IOTABTC,15m,Potential Bullish MACD cross
2020-05-13 16:15:29+00:00,ETHBTC,15m,Potential Bearish MACD cross
2020-05-13 16:15:29+00:00,XMRBTC,15m,Potential Bearish MACD cross
2020-05-13 16:15:17+00:00,XTZBTC,5m,Stochastics Oversold
2020-05-13 16:15:17+00:00,AIONBTC,5m,Stochastics Oversold
2020-05-13 16:15:17+00:00,XMRBTC,5m,Stochastics Oversold
2020-05-13 16:15:17+00:00,ICXBTC,5m,Stochastics Oversold
2020-05-13 16:15:17+00:00,XLMBTC,5m,Potential Bullish MACD cross
2020-05-13 16:15:17+00:00,DASHBTC,5m,Potential Bearish MACD cross
2020-05-13 16:15:17+00:00,STRATBTC,5m,Potential Bearish MACD cross
2020-05-13 16:10:17+00:00,LENDBTC,5m,Potential Bullish MACD cross
2020-05-13 16:05:18+00:00,KNCBTC,5m,RSI Oversold
2020-05-13 16:05:18+00:00,LTCBTC,5m,RSI Overbought
2020-05-13 16:05:18+00:00,ETHBTC,5m,Potential Bullish MACD cross
2020-05-13 16:05:18+00:00,KAVABTC,5m,Potential Bullish MACD cross
2020-05-13 16:05:18+00:00,WRXBTC,5m,Potential Bullish MACD cross
2020-05-13 16:05:18+00:00,NANOBTC,5m,Potential Bearish MACD cross
2020-05-13 16:00:36+00:00,BTCUSDT,1h,RSI Overbought
2020-05-13 16:00:36+00:00,STRATBTC,1h,Stochastics Oversold
2020-05-13 16:00:36+00:00,NASBTC,1h,Stochastics Oversold
2020-05-13 16:00:36+00:00,LINKBTC,1h,Potential Bullish MACD cross
2020-05-13 16:00:36+00:00,BATBTC,1h,Potential Bullish MACD cross
2020-05-13 16:00:36+00:00,XTZBTC,1h,Potential Bullish MACD cross
2020-05-13 16:00:36+00:00,ADABTC,1h,Potential Bullish MACD cross
2020-05-13 16:00:36+00:00,BNBBTC,1h,Potential Bullish MACD cross
2020-05-13 16:00:36+00:00,ALGOBTC,1h,Potential Bullish MACD cross
2020-05-13 16:00:33+00:00,KNCBTC,15m,RSI Oversold
2020-05-13 16:00:33+00:00,ETHBTC,15m,RSI Overbought
2020-05-13 16:00:33+00:00,TOMOBTC,15m,Potential Bullish MACD cross
2020-05-13 16:00:33+00:00,STRATBTC,15m,Potential Bullish MACD cross
2020-05-13 16:00:33+00:00,DATABTC,15m,Potential Bullish MACD cross
