Date,Pair,Interval,Indicator
2020-05-21 18:00:45+00:00,ALGOUSDT,15m,RSI Bullish Divergence
2020-05-21 18:00:45+00:00,BTTUSDT,15m,RSI Bullish Divergence
2020-05-21 18:00:45+00:00,ZRXUSDT,15m,RSI Bullish Divergence
2020-05-21 17:00:31+00:00,ZECUSDT,1h,Bullish Engulfing + RSI was Oversold
2020-05-21 16:45:23+00:00,EOSBTC,15m,Near Horizontal Support
2020-05-21 16:01:05+00:00,WINUSDT,4h,Near Horizontal Support
2020-05-21 16:01:05+00:00,IOTAUSDT,4h,0.618 Fibonacci retracement
2020-05-21 16:00:46+00:00,BCHUSDT,1h,RSI Extremely Oversold
2020-05-21 15:00:50+00:00,ZRXUSDT,1h,Near Horizontal Support
2020-05-21 15:00:50+00:00,DATABTC,1h,Near Horizontal Support
2020-05-21 15:00:50+00:00,XTZUSDT,1h,0.618 Fibonacci retracement
2020-05-21 15:00:50+00:00,BANDUSDT,1h,0.618 Fibonacci retracement
2020-05-21 15:00:50+00:00,ATOMUSDT,1h,0.618 Fibonacci retracement
2020-05-21 15:00:50+00:00,MANABTC,1h,0.618 Fibonacci retracement
2020-05-21 15:00:50+00:00,LINKUSDT,1h,0.618 Fibonacci retracement
2020-05-21 15:00:50+00:00,ZECUSDT,1h,0.618 Fibonacci retracement
2020-05-21 14:45:58+00:00,FTMUSDT,15m,RSI Extremely Oversold
2020-05-21 14:45:58+00:00,ZECUSDT,15m,RSI Extremely Oversold
2020-05-21 14:45:58+00:00,XMRUSDT,15m,RSI Extremely Oversold
2020-05-21 14:45:58+00:00,ETCUSDT,15m,RSI Extremely Oversold
2020-05-21 14:45:58+00:00,AIONUSDT,15m,RSI Extremely Oversold
2020-05-21 14:45:58+00:00,WINUSDT,15m,RSI Extremely Oversold
2020-05-21 14:45:58+00:00,ATOMUSDT,15m,Near Horizontal Support
2020-05-21 14:45:58+00:00,BCHBTC,15m,Near Horizontal Support
2020-05-21 14:45:58+00:00,LINKUSDT,15m,Near Horizontal Support
2020-05-21 14:45:58+00:00,ZRXBTC,15m,Near Horizontal Support
2020-05-21 14:45:58+00:00,DASHUSDT,15m,RSI Extremely Oversold
2020-05-21 14:45:58+00:00,FETUSDT,15m,RSI Extremely Oversold
2020-05-21 14:45:58+00:00,EOSUSDT,15m,RSI Extremely Oversold
2020-05-21 14:45:58+00:00,XRPUSDT,15m,RSI Extremely Oversold
2020-05-21 14:45:58+00:00,NEOUSDT,15m,RSI Extremely Oversold
2020-05-21 14:45:58+00:00,XLMUSDT,15m,RSI Extremely Oversold
2020-05-21 14:45:58+00:00,BCHUSDT,15m,RSI Extremely Oversold
2020-05-21 14:45:58+00:00,ALGOUSDT,15m,RSI Extremely Oversold
2020-05-21 14:45:58+00:00,ETCBTC,15m,RSI Extremely Oversold
2020-05-21 14:45:58+00:00,VETUSDT,15m,RSI Extremely Oversold
2020-05-21 14:45:58+00:00,MATICUSDT,15m,RSI Extremely Oversold
2020-05-21 14:45:58+00:00,LTCUSDT,15m,RSI Extremely Oversold
2020-05-21 14:45:58+00:00,TRXUSDT,15m,RSI Extremely Oversold
2020-05-21 14:45:58+00:00,BTTUSDT,15m,RSI Extremely Oversold
2020-05-21 14:45:58+00:00,BTCUSDT,15m,RSI Extremely Oversold
2020-05-21 14:45:58+00:00,ETHUSDT,15m,RSI Extremely Oversold
2020-05-21 14:45:58+00:00,BNBUSDT,15m,RSI Extremely Oversold
2020-05-21 14:45:58+00:00,ADAUSDT,15m,RSI Extremely Oversold
2020-05-21 14:45:58+00:00,IOTAUSDT,15m,RSI Extremely Oversold
2020-05-21 14:45:58+00:00,LINKUSDT,15m,RSI Extremely Oversold
2020-05-21 14:30:27+00:00,ZILUSDT,15m,RSI Bullish Divergence
2020-05-21 14:30:27+00:00,RVNUSDT,15m,Near Horizontal Support
2020-05-21 14:30:27+00:00,COTIUSDT,15m,Near Horizontal Support
2020-05-21 14:15:43+00:00,DASHUSDT,15m,Near Horizontal Support
2020-05-21 14:15:43+00:00,ZRXUSDT,15m,RSI Extremely Oversold
2020-05-21 14:15:43+00:00,ALGOUSDT,15m,Near Horizontal Support
2020-05-21 13:00:29+00:00,IOTABTC,15m,Near Horizontal Support
2020-05-21 13:00:29+00:00,AIONUSDT,15m,Near Horizontal Support
2020-05-21 13:00:29+00:00,TFUELUSDT,15m,Hidden Bullish RSI Divergence (Beta)
2020-05-21 12:15:20+00:00,TNTBTC,15m,Near Horizontal Support
2020-05-21 12:00:40+00:00,COSUSDT,4h,0.618 Fibonacci retracement
2020-05-21 11:30:23+00:00,TFUELUSDT,15m,Hidden Bullish RSI Divergence (Beta)
2020-05-21 11:15:22+00:00,TFUELUSDT,15m,Hidden Bullish RSI Divergence (Beta)
2020-05-21 11:00:26+00:00,XMRUSDT,1h,Bullish Engulfing + RSI was Oversold
2020-05-21 10:45:26+00:00,ZECUSDT,15m,Divergence + Support (Beta)
2020-05-21 10:45:26+00:00,ZECUSDT,15m,RSI Bullish Divergence
2020-05-21 10:00:34+00:00,BNBUSDT,15m,Near Horizontal Support
2020-05-21 09:00:36+00:00,COSUSDT,1h,RSI Bullish Divergence
2020-05-21 09:00:36+00:00,QTUMUSDT,1h,0.618 Fibonacci retracement
2020-05-21 09:00:36+00:00,OGNUSDT,1h,0.618 Fibonacci retracement
2020-05-21 09:00:36+00:00,STEEMBTC,1h,0.618 Fibonacci retracement
2020-05-21 08:45:33+00:00,BTCUSDT,15m,Abnormal Volatility alert
2020-05-21 08:45:33+00:00,VETUSDT,15m,RSI Bullish Divergence
2020-05-21 08:45:33+00:00,BNBUSDT,15m,RSI Extremely Oversold
2020-05-21 08:45:33+00:00,FETUSDT,15m,Near Horizontal Support
2020-05-21 08:45:33+00:00,QTUMUSDT,15m,Near Horizontal Support
2020-05-21 08:45:33+00:00,VETUSDT,15m,Near Horizontal Support
2020-05-21 08:45:33+00:00,WRXUSDT,15m,Near Horizontal Support
2020-05-21 08:45:33+00:00,ZRXUSDT,15m,Near Horizontal Support
2020-05-21 08:45:33+00:00,ZECUSDT,15m,Near Horizontal Support
2020-05-21 08:45:33+00:00,VETUSDT,15m,Divergence + Support (Beta)
2020-05-21 08:30:35+00:00,TRXUSDT,15m,Divergence + Support (Beta)
2020-05-21 08:30:35+00:00,TRXUSDT,15m,RSI Bullish Divergence
2020-05-21 08:30:35+00:00,STEEMBTC,15m,RSI Bullish Divergence
2020-05-21 08:30:35+00:00,XMRUSDT,15m,RSI Bullish Divergence
2020-05-21 08:30:35+00:00,EOSUSDT,15m,Near Horizontal Support
2020-05-21 08:30:35+00:00,TRXUSDT,15m,Near Horizontal Support
2020-05-21 08:30:35+00:00,BTCUSDT,15m,Near Horizontal Support
2020-05-21 08:30:35+00:00,IOTAUSDT,15m,Near Horizontal Support
2020-05-21 08:30:35+00:00,ETCUSDT,15m,Near Horizontal Support
2020-05-21 08:00:39+00:00,ETHUSDT,15m,Near Horizontal Support
2020-05-21 07:30:28+00:00,XRPUSDT,15m,Near Horizontal Support
2020-05-21 07:30:28+00:00,WAVESUSDT,15m,Near Horizontal Support
2020-05-21 07:00:35+00:00,WAVESUSDT,1h,0.618 Fibonacci retracement
2020-05-21 07:00:35+00:00,INSBTC,1h,0.618 Fibonacci retracement
2020-05-21 07:00:27+00:00,BCHUSDT,15m,Near Horizontal Support
2020-05-21 03:45:24+00:00,COSUSDT,15m,Near Horizontal Support
2020-05-21 03:00:38+00:00,XMRUSDT,15m,Near Horizontal Support
2020-05-21 03:00:27+00:00,POLYBTC,1h,Hidden Bullish RSI Divergence (Beta)
2020-05-21 02:00:29+00:00,POLYBTC,1h,Hidden Bullish RSI Divergence (Beta)
2020-05-21 01:00:27+00:00,ETHBTC,1h,Near Horizontal Resistance
2020-05-21 00:15:25+00:00,ADABTC,15m,RSI Extremely Overbought
